internal_name,czech,english,french,spanish
"add","Přidat","Add","Ajouter","Añadir"
"app_settings","Nastavení aplikace","Application settings","Paramètres de l'application","Configuración de la aplicación"
"aspect_conjunction","Konjunkce","Conjunction","Conjonction","Conjunción"
"aspect_opposition","Opozice","Opposition","Opposition","Oposición"
"aspect_quincunx","Kvinkunx","Quincunx","Quincunx","Quincuncio"
"aspect_semisextile","Semisextil","Semisextile","Semi-sextile","Semisextil"
"aspect_decile","Decil","Decile","Décile","Decil"
"aspect_novile","Novil","Novile","Novile","Novil"
"aspect_semisquare","Semikvadratura","Semisquare","Semi-carré","Semicuadratura"
"aspect_septile","Septil","Septile","Septile","Séptil"
"aspect_quintile","Kvintil","Quintile","Quintile","Quintil"
"aspect_binovile","Binovil","Binovile","Binovile","Binovil"
"aspect_tridecile","Tridecil","Tridecile","Tridécile","Tridecil"
"aspect_sesquiquadrate","Sesquikvadratura","Sesquiquadrate","Sesqui-carré","Sesquicuadratura"
"aspect_biquintile","Bikvintil","Biquintile","Biquintile","Biquintil"
"aspect_quadrinovile","Quadrinovil","Quadrinovile","Quadrinovile","Cuadrinovil"
"transits_aspects_harmonic_series","{{n}}. harmonická řada","Harmonic {{n}}","{{n}}e harmonique","Armónico {{n}}"
"transits_aspects_view_type","Podle typu","By type","Par type","Por tipo"
"transits_aspects_view_harmonic","Podle harmonických řad","By harmonic series","Par série harmonique","Por serie armónica"
"transits_aspects_view_label","Zobrazení aspektů","Aspect view","Affichage des aspects","Vista de aspectos"
"transits_aspects_presets_title","Doporučené sady","Suggested sets","Ensembles suggérés","Conjuntos sugeridos"
"transits_aspects_preset_traditional_name","Tradiční aspekty","Traditional aspects","Aspects traditionnels","Aspectos tradicionales"
"transits_aspects_preset_traditional_desc","Konjunkce, sextil, kvadratura, trigon, opozice","Conjunction, sextile, square, trine, opposition","Conjonction, sextile, carré, trigone, opposition","Conjunción, sextil, cuadratura, trígono, oposición"
"transits_aspects_preset_modern_name","Moderní astrologie","Modern astrology","Astrologie moderne","Astrología moderna"
